,Player,Name,Nation,Pos,Squad,season
0,Alisson\Alisson,ALISSON,br BRA,GK,Roma,2017-2018
1,Etrit Berisha\Etrit-Berisha,BERISHA,al ALB,GK,Atalanta,2017-2018
2,Albano Bizzarri\Albano-Bizzarri,BIZZARRI,ar ARG,GK,Udinese,2017-2018
3,Alberto Brignoli\Alberto-Brignoli,BRIGNOLI,it ITA,GK,Benevento,2017-2018
4,Gianluigi Buffon\Gianluigi-Buffon,BUFFON,it ITA,GK,Juventus,2017-2018
5,Andrea Consigli\Andrea-Consigli,CONSIGLI,it ITA,GK,Sassuolo,2017-2018
6,Alex Cordaz\Alex-Cordaz,CORDAZ,it ITA,GK,Crotone,2017-2018
7,Alessio Cragno\Alessio-Cragno,CRAGNO,it ITA,GK,Cagliari,2017-2018
8,Samir Handanović\Samir-Handanovic,HANDANOVIC,si SVN,GK,Inter,2017-2018
9,Alex Meret\Alex-Meret,MERET,it ITA,GK,SPAL,2017-2018
10,Antonio Mirante\Antonio-Mirante,MIRANTE,it ITA,GK,Bologna,2017-2018
11,Mattia Perin\Mattia-Perin,PERIN,it ITA,GK,Genoa,2017-2018
12,Christian Puggioni\Christian-Puggioni,PUGGIONI,it ITA,GK,Benevento,2017-2018
13,Pepe Reina\Pepe-Reina,REINA,es ESP,GK,Napoli,2017-2018
14,Salvatore Sirigu\Salvatore-Sirigu,SIRIGU,it ITA,GK,Torino,2017-2018
15,Stefano Sorrentino\Stefano-Sorrentino,SORRENTINO,it ITA,GK,Chievo,2017-2018
16,Marco Sportiello\Marco-Sportiello,SPORTIELLO,it ITA,GK,Fiorentina,2017-2018
17,Thomas Strakosha\Thomas-Strakosha,STRAKOSHA,al ALB,GK,Lazio,2017-2018
18,Wojciech Szczęsny\Wojciech-Szczesny,SZCZESNY,pl POL,GK,Juventus,2017-2018
19,Emiliano Viviano\Emiliano-Viviano,VIVIANO,it ITA,GK,Sampdoria,2017-2018
20,Emil Audero\Emil-Audero,AUDERO,it ITA,GK,Sampdoria,2018-2019
21,Etrit Berisha\Etrit-Berisha,BERISHA,al ALB,GK,Atalanta,2018-2019
22,Andrea Consigli\Andrea-Consigli,CONSIGLI,it ITA,GK,Sassuolo,2018-2019
