,Player,Name,Nation,Pos,Squad,season
0,Ignazio Abate\Ignazio-Abate,ABATE,it ITA,DF,Milan,2017-2018
1,Francesco Acerbi\Francesco-Acerbi,ACERBI,it ITA,DF,Sassuolo,2017-2018
2,Afriyie Acquah\Afriyie-Acquah,ACQUAH,gh GHA,MF,Torino,2017-2018
3,Claud Adjapong\Claud-Adjapong,ADJAPONG,it ITA,DFMF,Sassuolo,2017-2018
4,Arlind Ajeti\Arlind-Ajeti,AJETI,al ALB,DFMF,Crotone,2017-2018
5,Raúl Albiol\Raul-Albiol,ALBIOL,es ESP,DF,Napoli,2017-2018
6,Allan\Allan,ALLAN,br BRA,MF,Napoli,2017-2018
7,Marco Andreolli\Marco-Andreolli,ANDREOLLI,it ITA,DF,Cagliari,2017-2018
8,Cristian Ansaldi\Cristian-Ansaldi,ANSALDI,ar ARG,DFMF,Torino,2017-2018
9,Mirco Antenucci\Mirco-Antenucci,ANTENUCCI,it ITA,FW,SPAL,2017-2018
10,Kwadwo Asamoah\Kwadwo-Asamoah,ASAMOAH,gh GHA,DF,Juventus,2017-2018
11,Davide Astori\Davide-Astori,ASTORI,it ITA,DF,Fiorentina,2017-2018
12,Milan Badelj\Milan-Badelj,BADELJ,hr CRO,MF,Fiorentina,2017-2018
13,Andrija Balić\Andrija-Balic,BALIC,hr CRO,MF,Udinese,2017-2018
14,Mattia Bani\Mattia-Bani,BANI,it ITA,DF,Chievo,2017-2018
15,Antonín Barák\Antonin-Barak,BARAK,cz CZE,MF,Udinese,2017-2018
16,Andrea Barberis\Andrea-Barberis,BARBERIS,it ITA,MF,Crotone,2017-2018
17,Nicolò Barella\Nicolo-Barella,BARELLA,it ITA,MF,Cagliari,2017-2018
18,Édgar Barreto\Edgar-Barreto,BARRETO,py PAR,MF,Sampdoria,2017-2018
19,Andrea Barzagli\Andrea-Barzagli,BARZAGLI,it ITA,DF,Juventus,2017-2018
20,Daniele Baselli\Daniele-Baselli,BASELLI,it ITA,MF,Torino,2017-2018
21,Samuel Bastien\Samuel-Bastien,BASTIEN,be BEL,MFFW,Chievo,2017-2018
22,Bastos\Bastos,BASTOS,ao ANG,DF,Lazio,2017-2018
23,Valon Behrami\Valon-Behrami,BEHRAMI,ch SUI,MF,Udinese,2017-2018
24,Andrea Belotti\Andrea-Belotti,BELOTTI,it ITA,FW,Torino,2017-2018
25,Marco Benassi\Marco-Benassi,BENASSI,it ITA,MFFW,Fiorentina,2017-2018
26,Medhi Benatia\Medhi-Benatia,BENATIA,ma MAR,DF,Juventus,2017-2018
27,Domenico Berardi\Domenico-Berardi,BERARDI,it ITA,FW,Sassuolo,2017-2018
28,Álex Berenguer\Alex-Berenguer,BERENGUER,es ESP,FW,Torino,2017-2018
29,Bartosz Bereszyński\Bartosz-Bereszynski,BERESZYNSKI,pl POL,DF,Sampdoria,2017-2018
30,Andrea Bertolacci\Andrea-Bertolacci,BERTOLACCI,it ITA,MF,Genoa,2017-2018
31,Lucas Biglia\Lucas-Biglia,BIGLIA,ar ARG,MF,Milan,2017-2018
32,Cristiano Biraghi\Cristiano-Biraghi,BIRAGHI,it ITA,DF,Fiorentina,2017-2018
33,Davide Biraschi\Davide-Biraschi,BIRASCHI,it ITA,DF,Genoa,2017-2018
34,Valter Birsa\Valter-Birsa,BIRSA,si SVN,MFFW,Chievo,2017-2018
35,Giacomo Bonaventura\Giacomo-Bonaventura,BONAVENTURA,it ITA,MF,Milan,2017-2018
36,Leonardo Bonucci\Leonardo-Bonucci,BONUCCI,it ITA,DF,Milan,2017-2018
37,Fabio Borini\Fabio-Borini,BORINI,it ITA,FWDF,Milan,2017-2018
38,Enrico Brignola\Enrico-Brignola,BRIGNOLA,it ITA,FWMF,Benevento,2017-2018
39,Marcelo Brozović\Marcelo-Brozovic,BROZOVIC,hr CRO,MF,Inter,2017-2018
40,Marcel Büchel\Marcel-Buchel,BUCHEL,li LIE,MF,Verona,2017-2018
41,Ante Budimir\Ante-Budimir,BUDIMIR,hr CRO,FW,Crotone,2017-2018
42,Nicolás Burdisso\Nicolas-Burdisso,BURDISSO,ar ARG,DF,Torino,2017-2018
